keyword,cluster,intent,demand,competition,evidence,serp_type,top_competitor,current_imageseo_url,proposed_url,priority,notes
"webp converter","conversion","Transactional / Tool","High","High","Google autocomplete, high SERP density (CloudConvert, FreeConvert, AnyWebP), PAA queries","Interactive converter tools + format guides","cloudconvert.com, towebp.io","/free-webp-converter","/free-webp-converter","P1","Core tool page. Needs rich rendered content, batch support explanation, and client-side privacy positioning."
"jpg to webp","conversion","Transactional / Task","High","Medium","Dominant format-pair search in autocomplete and competitor site architecture (toWebP, CloudConvert)","Dedicated format-pair converter tools","cloudconvert.com, towebp.io, iloveimg.com","/jpg-to-webp","/jpg-to-webp","P1","High-intent task page. Distinct guidance on lossy quality sliders, file size savings, and browser decoding."
"png to webp","conversion","Transactional / Task","High","Medium","High search frequency for transparency preservation and web asset optimization","Dedicated format-pair converter tools","cloudconvert.com, towebp.io, freeconvert.com","/png-to-webp","/png-to-webp","P1","Dedicated page emphasizing alpha transparency preservation, lossless vs lossy WebP, and graphic compression."
"free geo tagger","metadata/geotagging","Transactional / Tool","High","Low/Medium","Fewer massive domain incumbents; specialized tools (FreeGeoTagger, GeoTag.world, GeoImgr) rank well","Interactive map-based EXIF geotagging utilities","freegeotagger.com, geotag.world, tool.geoimgr.com","/free-geo-tagger","/free-geo-tagger","P1","Major competitive opportunity. Client-side browser privacy is a key differentiator. Keep local SEO claims strictly accurate."
"add gps to photo","metadata/geotagging","Task / Informational & Tool","Medium","Medium","High PAA presence, camera workflow searches, desktop/mobile photo location intent","How-to guides and direct browser tools","geotagphotosonline.com, retrotagr.com","/free-geo-tagger","/free-geo-tagger","P1","Map as primary secondary intent for /free-geo-tagger with step-by-step instructions in rendered body."
"image compressor","compression","Transactional / Tool","High","High","Universal demand, massive search interest (TinyPNG, Squoosh, iLoveIMG)","Multi-format drag-and-drop compressors","tinypng.com, iloveimg.com, squoosh.app","/free-online-image-compressor","/free-online-image-compressor","P1","High volume head term. Highlight 100% client-side privacy, instant processing, and customizable compression ratio."
"compress jpg","compression","Transactional / Task","High","Medium","Format-specific queries consistently show strong dedicated SERP real estate (CompressJPG, 11zon)","Dedicated JPG compression utilities","compressjpeg.com, iloveimg.com","/compress-jpg","/compress-jpg","P1","Dedicated route targeting JPEG compression nuances, artifacts prevention, and file size reduction."
"image seo","knowledge hub","Informational / Commercial","Medium","High","Google Search Central documentation interest, webmaster optimization guides, PAA clusters","Comprehensive guides and best-practice pillar content","developers.google.com, yoast.com, ahrefs.com","/image-seo","/image-seo","P1","Pillar knowledge hub linking out to all conversion, compression, and geotagging tools."
"compress png","compression","Transactional / Task","High","Medium","Format-specific compression demand for UI assets and logos","Dedicated PNG compression tools","tinypng.com, compresspng.com","none","/compress-png","P2","Secondary task route. Implement only after dedicated PNG quantization/compression options are verified."
"compress image to 100kb","compression","Task / Exact Target Size","High","Low/Medium","High search volume for government forms, job portals, and upload limits (Pi7, ImgSmaller, 11zon)","Target-size calculator and compression tools","pi7.org, imgsmaller.com, 11zon.com","none","/compress-image-to-kb","P2","Strong long-tail win, but requires client-side iterative binary search compression algorithm before launch."
"exif viewer online","metadata","Transactional / Tool","Medium","Low/Medium","Stable search interest for inspecting camera settings, GPS tags, and date created (jimpl, AnyEXIF)","Browser metadata inspector tools","jimpl.com, anyexif.com, exif.tools","none","/exif-viewer","P2","Natural extension of piexifjs integration already in codebase. Can show GPS map and technical camera tags."
"remove exif data online","metadata","Transactional / Privacy Tool","Medium","Low/Medium","Growing privacy-conscious search demand for stripping GPS and camera info prior to sharing","Metadata scrubber utilities","exifremover.com, metadata2go.com","none","/remove-exif-data","P2","Zero-upload privacy value proposition aligns perfectly with ImageSEO architecture."
"image alt text seo","knowledge hub","Informational","Medium","Medium","Accessibility and SEO best practice queries, Google Search Central citations","Educational articles, checklists, formulas","moz.com, hubspot.com","/blog/alt-text-local-seo-formula","/blog/alt-text-local-seo-formula","P2","Keep and enhance existing blog URL with practical examples and Google guidelines."
"image filename seo","knowledge hub","Informational","Low/Medium","Low/Medium","Google Search Central best practice topic on descriptive hyphenated naming","Actionable naming guides and tool utilities","searchenginejournal.com","/blog/image-file-names-local-seo","/blog/image-file-names-local-seo","P2","Existing blog post. Add clear naming generator rules and hyphenation best practices."
"webp to jpg","conversion","Transactional / Task","High","Medium","High demand from users downloading WebP who need compatibility with older desktop editors","Format-pair converters","cloudconvert.com, ezgif.com","none","/webp-to-jpg","P2","Requires expanding canvas exporter to decode WebP and output standard JPEG."
"heic to jpg","conversion","Transactional / Task","Very High","High","Massive search volume due to Apple iPhone default photo format compatibility issues","Dedicated HEIC converters","heictojpg.com, cloudconvert.com","none","/heic-to-jpg","P2","Requires client-side HEIC wasm decoder (e.g. heic2any). Evaluate bundle size before implementing."
"passport photo resize","resizing","Consumer Utility","High","High","Dominated by specialized photo booth and government requirement sites","Biometric cropping and printing utilities","123passportphoto.com, cutout.pro","none","none","IGNORE","Mismatch with ImageSEO core value proposition (technical image optimization & SEO metadata)."
"remove background from image","ai-editing","Creative Tool","Very High","Very High","Dominated by heavy AI platforms (Remove.bg, Canva, Adobe)","AI segmentation tools","remove.bg, adobe.com","none","none","IGNORE","Requires server GPU infrastructure or heavy ML models out of scope for lightweight client utility."
