url,page_type,primary_keyword,cluster,intent,action,canonical_url,prerender_status,schema_type,internal_links_in,internal_links_out,notes
"/","Core / Homepage","free image seo tools","core","Transactional / Hub","KEEP & IMPROVE","https://imageseo.cc/","Rendered shell; expand body depth","WebApplication + Organization","Site logo, breadcrumbs, all footers, legal pages","All tool pages, /image-seo pillar, latest blog posts","Main entry point and multi-utility dashboard."
"/free-webp-converter","Primary Tool","webp converter","conversion","Transactional / Tool","KEEP & IMPROVE","https://imageseo.cc/free-webp-converter","Rendered shell; expand body depth","WebApplication + FAQPage + HowTo","Header nav, homepage tools grid, /image-seo, /blog/webp-vs-jpg-local-seo","/jpg-to-webp, /png-to-webp, /free-online-image-compressor, /image-seo","Primary converter for all supported formats to WebP."
"/jpg-to-webp","Tool Variant","jpg to webp","conversion","Transactional / Task","KEEP & IMPROVE","https://imageseo.cc/jpg-to-webp","Rendered shell; expand body depth","WebApplication + FAQPage + BreadcrumbList","Homepage, /free-webp-converter, /blog/webp-vs-jpg-local-seo, /image-seo","/free-webp-converter, /png-to-webp, /compress-jpg","Targeted JPG->WebP task page with photographic compression guidance."
"/png-to-webp","Tool Variant","png to webp","conversion","Transactional / Task","KEEP & IMPROVE","https://imageseo.cc/png-to-webp","Rendered shell; expand body depth","WebApplication + FAQPage + BreadcrumbList","Homepage, /free-webp-converter, /image-seo","/free-webp-converter, /jpg-to-webp, /free-online-image-compressor","Dedicated transparency and graphic asset conversion page."
"/free-geo-tagger","Primary Tool","free geo tagger","metadata/geotagging","Transactional / Tool","KEEP & IMPROVE","https://imageseo.cc/free-geo-tagger","Rendered shell; expand body depth","WebApplication + FAQPage + HowTo","Header nav, homepage tools grid, /image-seo, /blog/free-geo-tagger-fast-location-seo","/blog/free-geo-tagger-fast-location-seo, /blog/google-business-profile-photo-optimization, /image-seo","Core browser-local GPS EXIF editor with Leaflet map."
"/free-online-image-compressor","Primary Tool","image compressor","compression","Transactional / Tool","KEEP & IMPROVE","https://imageseo.cc/free-online-image-compressor","Rendered shell; expand body depth","WebApplication + FAQPage + HowTo","Header nav, homepage tools grid, /image-seo, /compress-jpg","/compress-jpg, /free-webp-converter, /image-seo","Multi-format batch image compression utility."
"/compress-jpg","Tool Variant","compress jpg","compression","Transactional / Task","KEEP & IMPROVE","https://imageseo.cc/compress-jpg","Rendered shell; expand body depth","WebApplication + FAQPage + BreadcrumbList","Homepage, /free-online-image-compressor, /jpg-to-webp, /image-seo","/free-online-image-compressor, /jpg-to-webp","Dedicated JPEG image compression task page."
"/image-seo","Pillar Guide Hub","image seo","knowledge hub","Informational / Pillar","KEEP & IMPROVE","https://imageseo.cc/image-seo","Rendered shell; inject full pillar HTML","Article + BreadcrumbList + FAQPage","Header nav, footer, all tool pages, all blog posts","All tools (/free-webp-converter, /free-geo-tagger, /free-online-image-compressor, /jpg-to-webp, /png-to-webp, /compress-jpg), all 6 blog posts","Comprehensive topical authority pillar connecting theory to tools."
"/blog/free-geo-tagger-fast-location-seo","Blog Spoke","geo tagger fast location seo","metadata/geotagging","Informational","KEEP & IMPROVE (P0 Blocker Fix)","https://imageseo.cc/blog/free-geo-tagger-fast-location-seo","MISSING FROM PRERENDER -> Must generate static HTML","Article + BreadcrumbList","/image-seo, /free-geo-tagger, blog index/footer","/free-geo-tagger, /image-seo, /blog/google-business-profile-photo-optimization","Workflow guide on geotagging photos locally."
"/blog/image-file-names-local-seo","Blog Spoke","image file names seo","knowledge hub","Informational","KEEP & IMPROVE (P0 Blocker Fix)","https://imageseo.cc/blog/image-file-names-local-seo","MISSING FROM PRERENDER -> Must generate static HTML","Article + BreadcrumbList","/image-seo, homepage, blog index","/image-seo, /free-webp-converter, /blog/alt-text-local-seo-formula","Actionable file naming formulas and hyphenation rules."
"/blog/google-business-profile-photo-optimization","Blog Spoke","google business profile photo optimization","knowledge hub","Informational","KEEP & IMPROVE (P0 Blocker Fix)","https://imageseo.cc/blog/google-business-profile-photo-optimization","MISSING FROM PRERENDER -> Must generate static HTML","Article + BreadcrumbList","/image-seo, /free-geo-tagger, blog index","/free-geo-tagger, /image-seo, /free-online-image-compressor","Photo dimensions, quality, and upload best practices for GBP."
"/blog/webp-vs-jpg-local-seo","Blog Spoke","webp vs jpg","conversion","Informational","KEEP & IMPROVE (P0 Blocker Fix)","https://imageseo.cc/blog/webp-vs-jpg-local-seo","MISSING FROM PRERENDER -> Must generate static HTML","Article + BreadcrumbList","/image-seo, /free-webp-converter, /jpg-to-webp, blog index","/free-webp-converter, /jpg-to-webp, /image-seo","In-depth format comparison with speed and compatibility data."
"/blog/alt-text-local-seo-formula","Blog Spoke","alt text seo formula","knowledge hub","Informational","KEEP & IMPROVE (P0 Blocker Fix)","https://imageseo.cc/blog/alt-text-local-seo-formula","MISSING FROM PRERENDER -> Must generate static HTML","Article + BreadcrumbList","/image-seo, blog index","/image-seo, /blog/image-file-names-local-seo","Accessible and SEO-compliant alt text copywriting guidelines."
"/blog/image-seo-checklist-local-business","Blog Spoke","image seo checklist","knowledge hub","Informational","KEEP & IMPROVE (P0 Blocker Fix)","https://imageseo.cc/blog/image-seo-checklist-local-business","MISSING FROM PRERENDER -> Must generate static HTML","Article + BreadcrumbList","/image-seo, footer, blog index","/image-seo, /free-webp-converter, /free-geo-tagger, /free-online-image-compressor","Actionable pre-publish checklist for website and local images."
"/privacy","Legal","privacy policy","legal","Informational / Trust","KEEP & IMPROVE","https://imageseo.cc/privacy","Rendered; add to sitemap.xml","WebPage","Footer on all pages","/","Explains local browser canvas processing and zero server retention."
"/terms","Legal","terms of use","legal","Informational / Trust","KEEP & IMPROVE","https://imageseo.cc/terms","Rendered; fix regex quote escaping & add to sitemap.xml","WebPage","Footer on all pages","/","Browser tool licensing and terms."
