url,live_status,local_status,live_title,local_title,live_canonical,local_canonical,live_h1,local_h1,live_rendering,local_rendering,live_schema,local_schema,comparison_verdict,action_needed,priority
"/","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","IMGSEO | Free Image Optimizer, Geo Tagger &amp; WebP Converter for SEO","https://imageseo.cc/","https://imageseo.cc/","(none in raw HTML)","Free Image SEO Tools: Converter, Compressor & Geo Tagger","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/free-webp-converter","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Free WebP Converter Online | JPG &amp; PNG to WebP | IMGSEO","https://imageseo.cc/","https://imageseo.cc/free-webp-converter","(none in raw HTML)","Free WebP Converter Online","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/free-geo-tagger","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Free Geo Tagger | Add GPS Metadata to Photos | IMGSEO","https://imageseo.cc/","https://imageseo.cc/free-geo-tagger","(none in raw HTML)","Free Geo Tagger Tool","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/free-online-image-compressor","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Free Online Image Compressor | Compress Images in Browser | IMGSEO","https://imageseo.cc/","https://imageseo.cc/free-online-image-compressor","(none in raw HTML)","Free Online Image Compressor","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/jpg-to-webp","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","JPG to WebP Converter | Free Online Tool | IMGSEO","https://imageseo.cc/","https://imageseo.cc/jpg-to-webp","(none in raw HTML)","JPG to WebP Converter","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (New dedicated route + unique meta/H1)","Expand SSG rendered body content beyond H1+p shell","P1"
"/png-to-webp","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","PNG to WebP Converter | Free Online Tool | IMGSEO","https://imageseo.cc/","https://imageseo.cc/png-to-webp","(none in raw HTML)","PNG to WebP Converter","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (New dedicated route + unique meta/H1)","Expand SSG rendered body content beyond H1+p shell","P1"
"/compress-jpg","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Compress JPG Images Online | Free Browser Tool | IMGSEO","https://imageseo.cc/","https://imageseo.cc/compress-jpg","(none in raw HTML)","Compress JPG Images Online","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (New dedicated route + unique meta/H1)","Expand SSG rendered body content beyond H1+p shell","P1"
"/image-seo","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Image SEO Guide: Alt Text, File Names &amp; Performance | IMGSEO","https://imageseo.cc/","https://imageseo.cc/image-seo","(none in raw HTML)","Image SEO: The Practical Guide to Alt Text, Dimensions, and Next-Gen Formats","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (New dedicated route + unique meta/H1)","Expand SSG rendered body content beyond H1+p shell","P1"
"/privacy","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Privacy Policy | IMGSEO","https://imageseo.cc/","https://imageseo.cc/privacy","(none in raw HTML)","Privacy Policy","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved","Add to sitemap.xml and include in footer links verification","P1"
"/terms","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Terms of Use | IMGSEO","https://imageseo.cc/","https://imageseo.cc/terms","(none in raw HTML)","Terms of Use","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved with Regex Escaping Bug","Fix regex escaping in prerender script for terms description","P0"
