keyword,english_meaning,cluster,intent,demand,competition,SERP_type,ranking_competitors,target_existing_tool,proposed_URL,priority,notes
"converter jpg em webp","convert jpg to webp","conversion","Transactional / Task","Very High","Medium","Dedicated format converter web apps","iloveimg.com/pt, cloudconvert.com, convertio.co/pt","/jpg-to-webp","/pt/jpg-to-webp","P1","High demand in Brazil and Portugal. Highlight fast browser conversion without uploads."
"converter imagem para webp","convert image to webp","conversion","Transactional / Tool","High","Medium","Multi-format WebP tools","online-convert.com, towebp.io","/free-webp-converter","/pt/free-webp-converter","P1","Broad converter search term for Portuguese web creators."
"converter png em webp","convert png to webp","conversion","Transactional / Task","High","Low/Medium","Transparency preservation converters","cloudconvert.com, towebp.io","/png-to-webp","/pt/png-to-webp","P1","Targeting UI designers and WordPress store owners."
"converter webp para jpg","convert webp to jpg","conversion","Transactional / Task","High","Medium","WebP to JPG converter tools","iloveimg.com/pt, ezgif.com","/webp-to-jpg","/pt/webp-to-jpg","P2","Essential for users needing JPEG format for legacy editors and social channels."
"comprimir fotos","compress photos","compression","Transactional / Tool","Very High","High","Multi-image compression tools","tinypng.com, iloveimg.com/pt, optimizilla.com","/free-online-image-compressor","/pt/free-online-image-compressor","P1","Massive search volume across Brazil. Highlight 100% privacy and batch processing."
"comprimir jpg","compress jpg","compression","Transactional / Task","Very High","Medium","Dedicated JPEG optimizer web apps","iloveimg.com/pt, compressjpeg.com/pt","/compress-jpg","/pt/compress-jpg","P1","High intent for optimizing photos for blogs, e-commerce, and social media."
"comprimir png","compress png","compression","Transactional / Task","High","Medium","PNG compression tools","tinypng.com, compresspng.com/pt","/compress-png","/pt/compress-png","P2","Popular for illustrations, logos, and UI graphics."
"diminuir tamanho de foto","reduce photo file size","compression","Transactional / Task","High","Medium","Image resizers and file size reducers","iloveimg.com/pt, reduzirofoto.com","/free-online-image-compressor","/pt/free-online-image-compressor","P1","High consumer query volume in Brazil for reducing MB to KB."
"comprimir foto para 100kb","compress photo to 100kb","compression","Task / Exact Target Size","High","Low/Medium","Specific target size compression tools","11zon.com, pi7.org","/compress-image-to-kb","/pt/compress-image-to-kb","P1","Targeting online enrollment, government portals, and e-commerce listing limits."
"adicionar localizacao em foto","add location to photo","metadata/geotagging","Transactional / Tool","High","Low","Map-based EXIF geotagging utilities","tool.geoimgr.com, geotag.world","/free-geo-tagger","/pt/free-geo-tagger","P1","Strong competitive vacuum in Portuguese language SERPs."
"geotag foto gratis","free photo geotag","metadata/geotagging","Task / Tool","Medium","Low","Online GPS taggers and tutorials","geotagphotosonline.com","/free-geo-tagger","/pt/free-geo-tagger","P1","High intent for real estate agents, field researchers, and local businesses."
"ver dados exif online","view exif data online","metadata","Transactional / Tool","Medium","Low","EXIF viewer web tools","jimpl.com, anyexif.com","/exif-viewer","/pt/exif-viewer","P2","Inspect camera settings, date taken, and GPS metadata."
"remover dados exif foto","remove exif data from photo","metadata","Transactional / Privacy Tool","Medium","Low","Metadata scrubbers and privacy tools","exifremover.com, metadata2go.com","/remove-exif-data","/pt/remove-exif-data","P2","Privacy-conscious users wanting to strip GPS tags before public sharing."
"seo para imagens","seo for images","knowledge hub","Informational","Medium","Low/Medium","Educational image SEO and web performance guides","rockcontent.com, neilpatel.com/br","/image-seo","/pt/image-seo","P1","Pillar content covering alt tags, file names, format choice, and PageSpeed."
