keyword,english_meaning,cluster,intent,demand,competition,SERP_type,ranking_competitors,target_existing_tool,proposed_URL,priority,notes
"ubah jpg ke webp","change jpg to webp","conversion","Transactional / Task","Very High","Low/Medium","Format converter tools","iloveimg.com, towebp.io, cloudconvert.com","/jpg-to-webp","/id/jpg-to-webp","P1","Dominant Indonesian converter search query. Very high demand among bloggers and online shops."
"convert jpg ke webp","convert jpg to webp (loanword)","conversion","Transactional / Task","High","Low/Medium","Format converter web apps","iloveimg.com, convertio.co","/jpg-to-webp","/id/jpg-to-webp","P1","Common loanword variant in Indonesian tech searches."
"ubah foto ke webp","change photo to webp","conversion","Transactional / Tool","High","Low/Medium","WebP conversion utilities","online-convert.com, towebp.io","/free-webp-converter","/id/free-webp-converter","P1","Broad converter search term."
"ubah png ke webp","change png to webp","conversion","Transactional / Task","High","Low","Format converter web tools","towebp.io, cloudconvert.com","/png-to-webp","/id/png-to-webp","P1","Graphic and transparent logo conversion."
"ubah webp ke jpg","change webp to jpg","conversion","Transactional / Task","High","Low/Medium","WebP to JPG converter tools","iloveimg.com, ezgif.com","/webp-to-jpg","/id/webp-to-jpg","P2","High search volume for reverting downloaded WebP images to JPG."
"kompres foto","compress photo","compression","Transactional / Tool","Very High","Medium","Multi-image compression tools","iloveimg.com, tinypng.com, imagecompressor.11zon.com","/free-online-image-compressor","/id/free-online-image-compressor","P1","Massive Indonesian search volume. Highlight zero upload limits and browser speed."
"kompres jpg","compress jpg","compression","Transactional / Task","Very High","Low/Medium","Dedicated JPG compressor pages","iloveimg.com, compressjpeg.com","/compress-jpg","/id/compress-jpg","P1","Primary JPEG compression intent."
"kompres png","compress png","compression","Transactional / Task","High","Low","PNG compression tools","tinypng.com, compresspng.com","/compress-png","/id/compress-png","P2","Logo and illustration compression."
"perkecil ukuran foto","reduce photo file size","compression","Transactional / Task","Very High","Low/Medium","Image file size reducer tools","iloveimg.com, ilovepdf.com","/free-online-image-compressor","/id/free-online-image-compressor","P1","Natural search phrase used by millions of Indonesian mobile users."
"kompres foto 100kb","compress photo 100kb","compression","Task / Exact Target Size","Very High","Low/Medium","Target size compressor tools","11zon.com, pi7.org, imgsmaller.com","/compress-image-to-kb","/id/compress-image-to-kb","P1","Massive search spike for CPNS, university registration, and Shopee/Tokopedia seller limits."
"kompres foto 200kb","compress photo 200kb","compression","Task / Exact Target Size","Very High","Low/Medium","Target size compressor tools","11zon.com, pi7.org","/compress-image-to-kb","/id/compress-image-to-kb","P1","Second most popular exact-KB search in Indonesia."
"tambah lokasi foto","add location to photo","metadata/geotagging","Transactional / Tool","High","Low","Interactive map EXIF geotagging utilities","tool.geoimgr.com, geotag.world","/free-geo-tagger","/id/free-geo-tagger","P1","Very high demand for field survey documentation, sales check-ins, and local SEO."
"geotag foto online","geotag photo online","metadata/geotagging","Task / Tool","Medium","Low","Browser GPS taggers","geotagphotosonline.com","/free-geo-tagger","/id/free-geo-tagger","P1","Targeting agencies, surveyors, and photographers."
"lihat data exif foto","view photo exif data","metadata","Transactional / Tool","Medium","Low","EXIF viewer web apps","jimpl.com, anyexif.com","/exif-viewer","/id/exif-viewer","P2","Inspect camera model, shutter speed, date, and GPS coordinates."
"hapus data exif foto","delete photo exif data","metadata","Transactional / Privacy Tool","Medium","Low","Metadata scrubbers","exifremover.com","/remove-exif-data","/id/remove-exif-data","P2","Strip location and device info for privacy."
"seo gambar website","website image seo","knowledge hub","Informational","Medium","Low","Image SEO & optimization guides","dewaweb.com, niagahoster.co.id","/image-seo","/id/image-seo","P1","Pillar guide covering alt text, file naming, responsive images, and Core Web Vitals in Indonesian."
