keyword,english_meaning,cluster,intent,demand,competition,SERP_type,ranking_competitors,target_existing_tool,proposed_URL,priority,notes
"convertir jpg a webp","convert jpg to webp","conversion","Transactional / Task","Very High","Medium","Dedicated format converter tools & guides","iloveimg.com, cloudconvert.com, convertio.co","/jpg-to-webp","/es/jpg-to-webp","P1","Core pilot keyword. High search volume across Spain and LATAM. Emphasize client-side privacy and speed."
"convertir imagen a webp","convert image to webp","conversion","Transactional / Tool","High","Medium","Multi-format webp converter tools","online-convert.com, ezgif.com","/free-webp-converter","/es/free-webp-converter","P1","Broad converter head term for Spanish users."
"convertir png a webp","convert png to webp","conversion","Transactional / Task","High","Low/Medium","Transparency-preserving format converters","cloudconvert.com, towebp.io","/png-to-webp","/es/png-to-webp","P1","Crucial for web designers and developers seeking lossless alpha compression."
"convertir webp a jpg","convert webp to jpg","conversion","Transactional / Task","High","Medium","WebP back to JPG conversion utilities","iloveimg.com, ezgif.com, convertio.co","/webp-to-jpg","/es/webp-to-jpg","P2","High demand when users need JPG compatibility for legacy applications."
"comprimir imagenes","compress images","compression","Transactional / Tool","Very High","High","Multi-image browser compressor tools","iloveimg.com, tinypng.com, optimizilla.com","/free-online-image-compressor","/es/free-online-image-compressor","P1","Massive search volume. Highlight zero upload limits and client-side processing."
"comprimir jpg","compress jpg","compression","Transactional / Task","Very High","Medium","Dedicated JPEG compression utilities","iloveimg.com, compressjpeg.com","/compress-jpg","/es/compress-jpg","P1","Targeted intent for optimizing photographs with adjustable quality."
"comprimir png","compress png","compression","Transactional / Task","High","Medium","PNG compression and palette optimization tools","tinypng.com, compresspng.com","/compress-png","/es/compress-png","P2","Popular for logos, banners, and transparent illustrations."
"reducir tamaño de imagen","reduce image size","compression","Transactional / Task","High","Medium","Image resizer and file size reducer tools","iloveimg.com, reducirfotos.com","/free-online-image-compressor","/es/free-online-image-compressor","P1","Common consumer query variant in Latin America."
"comprimir fotos a 100kb","compress photos to 100kb","compression","Task / Exact Target Size","High","Low/Medium","Exact KB size target tools for portals","11zon.com, pi7.org","/compress-image-to-kb","/es/compress-image-to-kb","P1","High intent for government forms, passports, job applications in LATAM/Spain."
"geolocalizar fotos","geolocate photos","metadata/geotagging","Transactional / Tool","High","Low","Interactive map EXIF geotagging utilities","tool.geoimgr.com, geotag.world","/free-geo-tagger","/es/free-geo-tagger","P1","Major competitive vacuum in Spanish SERPs. Minimal high-quality localized tools."
"etiquetar fotos con gps","tag photos with gps","metadata/geotagging","Task / Tool","Medium","Low","How-to guides & browser GPS taggers","geotagphotosonline.com, retrotagr.com","/free-geo-tagger","/es/free-geo-tagger","P1","Supports local SEO practitioners and photographers adding GPS coordinates."
"ver datos exif online","view exif data online","metadata","Transactional / Tool","Medium","Low","EXIF viewer and inspector web apps","jimpl.com, anyexif.com","/exif-viewer","/es/exif-viewer","P2","Inspect EXIF metadata, camera settings, and GPS."
"eliminar datos exif","remove exif data","metadata","Transactional / Privacy Tool","Medium","Low","EXIF scrubber and privacy strippers","exifremover.com, metadata2go.com","/remove-exif-data","/es/remove-exif-data","P2","Privacy-focused searchers stripping location before sharing online."
"seo para imagenes","seo for images","knowledge hub","Informational","Medium","Low/Medium","Comprehensive SEO optimization guides","hubspot.es, semrush.com/es","/image-seo","/es/image-seo","P1","Educational hub establishing authority on image optimization, alt text, and file naming."
