keyword,english_meaning,cluster,intent,demand,competition,SERP_type,ranking_competitors,target_existing_tool,proposed_URL,priority,notes
"تحويل الصور الى webp","convert images to webp","conversion","Transactional / Tool","High","Low/Medium","WebP converter tools and articles","cloudconvert.com, convertio.co, iloveimg.com","/free-webp-converter","/ar/free-webp-converter","P1","Dominant Arabic conversion query across Egypt, Saudi Arabia, UAE, and North Africa."
"تحويل jpg الى webp","convert jpg to webp","conversion","Transactional / Task","High","Low/Medium","Dedicated format converter tools","towebp.io, cloudconvert.com","/jpg-to-webp","/ar/jpg-to-webp","P1","Key format conversion task. High demand among Arabic web designers and bloggers."
"تحويل png الى webp","convert png to webp","conversion","Transactional / Task","Medium","Low","Format converter web apps","cloudconvert.com, towebp.io","/png-to-webp","/ar/png-to-webp","P1","Preserving transparent background while cutting image weight."
"تحويل webp الى jpg","convert webp to jpg","conversion","Transactional / Task","High","Low/Medium","WebP to JPG converter tools","convertio.co, iloveimg.com","/webp-to-jpg","/ar/webp-to-jpg","P2","High search frequency due to difficulty opening WebP files on legacy Windows/Mac setups."
"ضغط الصور","compress images","compression","Transactional / Tool","Very High","Medium","Multi-image compression web apps","iloveimg.com, tinypng.com, imagecompressor.11zon.com","/free-online-image-compressor","/ar/free-online-image-compressor","P1","Massive Arabic search volume. Highlight zero upload limits and in-browser speed."
"ضغط صور jpg","compress jpg images","compression","Transactional / Task","High","Low/Medium","Dedicated JPG compressor pages","iloveimg.com, compressjpeg.com","/compress-jpg","/ar/compress-jpg","P1","Targeted intent for JPEG photos with quality optimization."
"ضغط صور png","compress png images","compression","Transactional / Task","Medium","Low","PNG compression tools","tinypng.com, compresspng.com","/compress-png","/ar/compress-png","P2","Graphics, icons, and logos compression."
"تقليل حجم الصور","reduce image size","compression","Transactional / Task","High","Low/Medium","Image size reducer tools","iloveimg.com, resizeimage.net","/free-online-image-compressor","/ar/free-online-image-compressor","P1","Very common natural search phrasing across the Arab world."
"تقليل حجم الصورة بالكيلوبايت","reduce image size in kb","compression","Task / Exact Target Size","High","Low","Target KB size reducers","11zon.com, pi7.org","/compress-image-to-kb","/ar/compress-image-to-kb","P1","High demand for government, educational, and visa application photo submissions."
"إضافة إحداثيات للصورة","add coordinates to photo","metadata/geotagging","Transactional / Tool","High","Very Low","Interactive GPS EXIF tagging tools","tool.geoimgr.com","/free-geo-tagger","/ar/free-geo-tagger","P1","Huge competitive void in Arabic SERPs. Zero high-quality native RTL client-side tools."
"تحديد موقع الصورة gps","set image gps location","metadata/geotagging","Task / Tool","Medium","Very Low","How-to articles and GPS utilities","geotagphotosonline.com","/free-geo-tagger","/ar/free-geo-tagger","P1","Valuable for local SEO agencies and photographers in MENA."
"عرض بيانات exif للصور","view exif data for photos","metadata","Transactional / Tool","Medium","Very Low","Online EXIF readers","jimpl.com, anyexif.com","/exif-viewer","/ar/exif-viewer","P2","Inspect EXIF tags, GPS location, and camera hardware specs."
"حذف بيانات exif من الصور","remove exif data from photos","metadata","Transactional / Privacy Tool","Medium","Very Low","EXIF metadata wipers","exifremover.com","/remove-exif-data","/ar/remove-exif-data","P2","Strong privacy appeal for mobile users removing location data before sharing."
"تحسين سيو الصور","improve image seo","knowledge hub","Informational","Medium","Very Low","Technical image SEO articles","seo.ar, google search central translations","/image-seo","/ar/image-seo","P1","Pillar guide covering alt text, Arabic file names, structured data, and WebP."
