keyword,english_meaning,cluster,intent,demand,competition,SERP_type,ranking_competitors,target_existing_tool,proposed_URL,priority,notes
"फोटो का साइज कम करना","reduce photo size (pure Hindi)","compression","Transactional / Task","Very High","Low","Image resizer and compressor tools","11zon.com, iloveimg.com, pi7.org","/free-online-image-compressor","/hi/free-online-image-compressor","P1","Dominant natural Hindi query for image compression across northern India."
"फोटो कम्प्रेस","photo compress (Hinglish/Hindi)","compression","Transactional / Tool","Very High","Low/Medium","Multi-image compression tools","11zon.com, tinypng.com, iloveimg.com","/free-online-image-compressor","/hi/free-online-image-compressor","P1","Massive search volume among students and job applicants."
"फोटो का साइज 100kb कैसे करें","how to make photo size 100kb","compression","Task / Exact Target Size","Very High","Low","Target KB compressor tools & tutorials","pi7.org, 11zon.com, imgsmaller.com","/compress-image-to-kb","/hi/compress-image-to-kb","P1","High intent for government recruitment portals (SSC, UPSC, Railway, State boards)."
"फोटो का साइज 50kb कैसे करें","how to make photo size 50kb","compression","Task / Exact Target Size","Very High","Low","Target KB compressor utilities","pi7.org, 11zon.com","/compress-image-to-kb","/hi/compress-image-to-kb","P1","Required signature and passport photo size for Indian online forms."
"फोटो का साइज 20kb कैसे करें","how to make photo size 20kb","compression","Task / Exact Target Size","High","Low","Target KB compressor utilities","pi7.org, 11zon.com","/compress-image-to-kb","/hi/compress-image-to-kb","P1","Signature upload limit on most Indian government exams."
"jpg से webp कन्वर्टर","jpg to webp converter","conversion","Transactional / Task","High","Low","Format converter tools","cloudconvert.com, towebp.io","/jpg-to-webp","/hi/jpg-to-webp","P1","Fast conversion to modern WebP format for Indian web developers and bloggers."
"फोटो को webp में बदलें","change photo to webp","conversion","Transactional / Tool","High","Low","WebP conversion web apps","online-convert.com, towebp.io","/free-webp-converter","/hi/free-webp-converter","P1","Broad photo-to-WebP conversion search phrase."
"png से webp कन्वर्टर","png to webp converter","conversion","Transactional / Task","Medium","Low","PNG to WebP tools","cloudconvert.com, towebp.io","/png-to-webp","/hi/png-to-webp","P1","Alpha transparency preservation in Hindi."
"webp से jpg कन्वर्टर","webp to jpg converter","conversion","Transactional / Task","High","Low","WebP to JPG converter tools","iloveimg.com, ezgif.com","/webp-to-jpg","/hi/webp-to-jpg","P2","Converting downloaded WebP files to JPG for local sharing and printing."
"jpg फोटो कम्प्रेस","jpg photo compress","compression","Transactional / Task","High","Low","Dedicated JPG compression pages","iloveimg.com, compressjpeg.com","/compress-jpg","/hi/compress-jpg","P1","Targeted JPEG photo compression intent."
"फोटो में लोकेशन डालना","add location in photo","metadata/geotagging","Transactional / Tool","Medium","Very Low","Interactive GPS EXIF tagging tools","tool.geoimgr.com","/free-geo-tagger","/hi/free-geo-tagger","P1","High utility for field surveyors, real estate, and local businesses in India."
"फोटो का gps लोकेशन कैसे देखें","how to check photo gps location","metadata","Transactional / Tool","Medium","Very Low","EXIF viewer web tools","jimpl.com, anyexif.com","/exif-viewer","/hi/exif-viewer","P2","View camera metadata and GPS coordinates."
"फोटो से लोकेशन हटाना","remove location from photo","metadata","Transactional / Privacy Tool","Medium","Very Low","Metadata scrubbers","exifremover.com","/remove-exif-data","/hi/remove-exif-data","P2","Privacy tool for removing location before sharing."
"इमेज एसईओ क्या है और कैसे करें","what is image seo and how to do it","knowledge hub","Informational","Medium","Very Low","Image SEO optimization guides","support.google.com, shoutmehindi.com","/image-seo","/hi/image-seo","P1","Comprehensive Hindi guide on alt text, image compression, WebP, and PageSpeed."
