language,language_name_native,page_type,target_route,canonical_url,primary_keyword,h1_tag,title_tag,meta_description,notes
"es","Español","Core / Homepage","/es/","https://imageseo.cc/es/","herramientas seo para imagenes gratis","Herramientas SEO para Imágenes Gratuitas y 100% Privadas en el Navegador","Herramientas SEO para Imágenes Gratis y Privadas | ImageSEO","Optimiza, comprime, convierte a WebP y geolocaliza imágenes directamente en tu navegador. 100% privado, rápido y sin límites de subida en ImageSEO.cc.","Homepage hub for Spanish audience."
"es","Español","Primary Tool","/es/free-webp-converter","https://imageseo.cc/es/free-webp-converter","convertidor webp gratis","Convertidor WebP Gratis y Rápido en el Navegador","Convertidor WebP Gratis Online — Sin Límites | ImageSEO","Convierte imágenes a formato WebP moderno al instante en tu navegador. Reduce el peso de tus fotos conservando máxima calidad visual sin subir archivos a servidores.","Core WebP tool in Spanish."
"es","Español","Tool Variant","/es/jpg-to-webp","https://imageseo.cc/jpg-to-webp","convertir jpg a webp","Convertir JPG a WebP Gratis Online","Convertir JPG a WebP Online Gratis — Rápido y Privado | ImageSEO","Convierte fotos JPG a formato WebP ligero al instante. Acelera tu sitio web con compresión de última generación 100% procesada en tu navegador.","High-intent format converter."
"es","Español","Tool Variant","/es/png-to-webp","https://imageseo.cc/es/png-to-webp","convertir png a webp","Convertir PNG a WebP con Transparencia","Convertir PNG a WebP Online Gratis — Conserva Transparencia | ImageSEO","Convierte archivos PNG a WebP conservando fondos transparentes y reduciendo el tamaño del archivo hasta un 80% sin pérdida perceptible.","Transparency-focused converter."
"es","Español","Primary Tool","/es/free-geo-tagger","https://imageseo.cc/es/free-geo-tagger","geolocalizar fotos gratis","Geolocalizador de Fotos y Editor EXIF GPS Gratis","Geolocalizar Fotos Online Gratis — Editor EXIF GPS | ImageSEO","Añade coordenadas GPS y metadatos EXIF a tus fotos para potenciar el SEO local y Google Business Profile. Mapa interactivo 100% privado en el navegador.","Core Geotagging tool."
"es","Español","Primary Tool","/es/free-online-image-compressor","https://imageseo.cc/es/free-online-image-compressor","comprimir imagenes online","Compresor de Imágenes Online Gratis y Sin Límites","Compresor de Imágenes Online Gratis — Rápido y Seguro | ImageSEO","Comprime fotos JPG, PNG y WebP por lotes sin perder calidad visual. Optimización 100% local en tu navegador sin registro ni almacenamiento en servidores.","Core Compression tool."
"es","Español","Tool Variant","/es/compress-jpg","https://imageseo.cc/es/compress-jpg","comprimir jpg","Comprimir Fotos JPG Gratis Online","Comprimir JPG Online Gratis — Reduce Tamaño sin Perder Calidad | ImageSEO","Reduce el peso en KB de tus imágenes JPG manteniendo una nitidez impecable. Procesamiento por lotes instantáneo y totalmente seguro.","Dedicated JPG compression."
"es","Español","Pillar Guide Hub","/es/image-seo","https://imageseo.cc/es/image-seo","seo para imagenes","Guía Completa de SEO para Imágenes y Optimización Web","Guía Definitiva de SEO para Imágenes (2025) — Posicionamiento y Velocidad | ImageSEO","Aprende a optimizar imágenes para Google: formatos WebP, compresión sin pérdida, etiquetas alt, nombres de archivo descriptivos y geolocalización EXIF.","Educational knowledge hub."
"pt","Português","Core / Homepage","/pt/","https://imageseo.cc/pt/","ferramentas de seo para imagens","Ferramentas de SEO para Imagens Grátis e 100% Privadas","Ferramentas de SEO para Imagens Grátis e Rápidas | ImageSEO","Otimize, comprima, converta para WebP e adicione geotags às suas fotos direto no navegador. 100% privado, ilimitado e sem enviar arquivos a servidores.","Homepage hub for Portuguese audience."
"pt","Português","Primary Tool","/pt/free-webp-converter","https://imageseo.cc/pt/free-webp-converter","conversor webp gratis","Conversor WebP Grátis Online no Navegador","Conversor WebP Grátis Online — Rápido e Sem Limites | ImageSEO","Converta fotos para o formato WebP moderno instantaneamente. Reduza o peso do seu site mantendo excelente qualidade visual com processamento local seguro.","Core WebP tool in Portuguese."
"pt","Português","Tool Variant","/pt/jpg-to-webp","https://imageseo.cc/pt/jpg-to-webp","converter jpg em webp","Converter JPG em WebP Grátis Online","Converter JPG em WebP Online Grátis — Rápido e Seguro | ImageSEO","Transforme imagens JPG em WebP super leves. Melhore o Core Web Vitals e o tempo de carregamento da sua loja ou blog com processamento 100% no navegador.","High-intent format converter."
"pt","Português","Tool Variant","/pt/png-to-webp","https://imageseo.cc/pt/png-to-webp","converter png em webp","Converter PNG em WebP com Transparência","Converter PNG em WebP Online Grátis — Mantém Fundo Transparente | ImageSEO","Converta imagens PNG para WebP mantendo a transparência alfa e diminuindo drasticamente o tamanho do arquivo sem perda de nitidez.","Transparency-focused converter."
"pt","Português","Primary Tool","/pt/free-geo-tagger","https://imageseo.cc/pt/free-geo-tagger","adicionar localizacao em foto","Geotag de Fotos e Editor EXIF GPS Grátis","Adicionar Localização em Fotos Grátis — Editor EXIF GPS | ImageSEO","Insira coordenadas GPS e metadados EXIF em fotos para impulsionar o SEO local e o Perfil da Empresa no Google. Mapa interativo 100% privado.","Core Geotagging tool."
"pt","Português","Primary Tool","/pt/free-online-image-compressor","https://imageseo.cc/pt/free-online-image-compressor","comprimir fotos online","Compressor de Imagens Online Grátis e Ilimitado","Compressor de Imagens Online Grátis — Diminuir Tamanho de Fotos | ImageSEO","Comprima fotos JPG, PNG e WebP em lote mantendo alta qualidade. Ferramenta rápida, segura e sem limites de upload com processamento local no navegador.","Core Compression tool."
"pt","Português","Tool Variant","/pt/compress-jpg","https://imageseo.cc/pt/compress-jpg","comprimir jpg","Comprimir Fotos JPG Grátis Online","Comprimir JPG Online Grátis — Reduzir Tamanho de Foto | ImageSEO","Diminua o tamanho em KB de imagens JPG sem perder detalhes visuais. Processamento em lote super veloz e totalmente confidencial.","Dedicated JPG compression."
"pt","Português","Pillar Guide Hub","/pt/image-seo","https://imageseo.cc/pt/image-seo","seo para imagens","Guia Completo de SEO para Imagens e Performance Web","Guia Completo de SEO para Imagens (2025) — Otimização e Velocidade | ImageSEO","Domine a otimização de imagens para o Google: formato WebP, compressão sem perda, texto alternativo (alt), nomes de arquivo e metadados EXIF de localização.","Educational knowledge hub."
"ar","العربية","Core / Homepage","/ar/","https://imageseo.cc/ar/","أدوات سيو الصور مجانا","أدوات سيو الصور وتحسين السرعة مجانًا وبخصوصية تامة","أدوات سيو الصور وتحسين السرعة مجانًا وبخصوصية كاملة | ImageSEO","اضغط الصور، حولها إلى صيغة WebP الحديثة، وأضف إحداثيات GPS مباشرة من متصفحك. أداة مجانية 100% وبخصوصية تامة دون رفع ملفاتك إلى خوادم خارجية.","Homepage hub for Arabic audience with native RTL."
"ar","العربية","Primary Tool","/ar/free-webp-converter","https://imageseo.cc/ar/free-webp-converter","تحويل الصور الى webp","محول صور WebP مجاني وسريع في المتصفح","محول صور WebP مجاني أونلاين — بدون قيود حجم | ImageSEO","حول الصور إلى صيغة WebP فائقة الخفة على الفور. سرّع موقعك الإلكتروني مع الحفاظ على دقة وجودة الصورة بمعالجة محلية آمنة داخل متصفحك.","Core WebP tool in Arabic."
"ar","العربية","Tool Variant","/ar/jpg-to-webp","https://imageseo.cc/ar/jpg-to-webp","تحويل jpg الى webp","تحويل JPG إلى WebP مجانًا أونلاين","تحويل JPG إلى WebP أونلاين مجانًا — سريع وخاص | ImageSEO","حول صور JPG إلى WebP لتقليل حجم الصفحات وتحسين سرعة تحميل موقعك وترتيبك في محرك بحث جوجل بدون إعلانات مزعجة.","High-intent format converter."
"ar","العربية","Tool Variant","/ar/png-to-webp","https://imageseo.cc/ar/png-to-webp","تحويل png الى webp","تحويل PNG إلى WebP مع الحفاظ على الشفافية","تحويل PNG إلى WebP أونلاين مجانًا — الحفاظ على الخلفية الشفافة | ImageSEO","حول ملفات PNG إلى WebP مع الحفاظ الكامل على الخلفية الشفافة وتقليل الحجم بنسبة تصل إلى 80% لتسريع تجربة المستخدم.","Transparency-focused converter."
"ar","العربية","Primary Tool","/ar/free-geo-tagger","https://imageseo.cc/ar/free-geo-tagger","إضافة إحداثيات للصورة","إضافة إحداثيات GPS وتعديل بيانات EXIF للصور مجانًا","إضافة إحداثيات GPS للصور أونلاين مجانًا — معدل EXIF | ImageSEO","أضف إحداثيات جغرافية وبيانات الموقع لصورك لتعزيز السيو المحلي ونتائج Google Business Profile عبر خريطة تفاعلية آمنة في المتصفح.","Core Geotagging tool."
"ar","العربية","Primary Tool","/ar/free-online-image-compressor","https://imageseo.cc/ar/free-online-image-compressor","ضغط الصور مجانا","برنامج ضغط الصور أونلاين مجانًا وبلا حدود","ضغط الصور أونلاين مجانًا — تقليل حجم الصور بدون فقدان الجودة | ImageSEO","اضغط صور JPG و PNG و WebP دفعة واحدة مع الاحتفاظ بأعلى جودة بصرية. معالجة سريعة وآمنة 100% داخل المتصفح دون حفظ أي بيانات.","Core Compression tool."
"ar","العربية","Tool Variant","/ar/compress-jpg","https://imageseo.cc/ar/compress-jpg","ضغط صور jpg","ضغط صور JPG أونلاين مجانًا","ضغط صور JPG مجانًا — تصغير حجم صور JPEG | ImageSEO","قلل حجم ملفات صور JPG بالكيلوبايت مع الحفاظ على وضوح التفاصيل وسرعة الفتح على الهواتف وأجهزة الكمبيوتر.","Dedicated JPG compression."
"ar","العربية","Pillar Guide Hub","/ar/image-seo","https://imageseo.cc/ar/image-seo","تحسين سيو الصور","الدليل الشامل لتحسين سيو الصور وسرعة المواقع","دليل سيو الصور الكامل (2025) — تحسين ترتيب الصور وسرعة المواقع | ImageSEO","تعلم كيفية تصدر نتائج بحث الصور في جوجل: صيغة WebP، ضغط الصور، النص البديل Alt Text، أسماء الملفات، وإضافة بيانات الموقع الجغرافي EXIF.","Educational knowledge hub."
"id","Bahasa Indonesia","Core / Homepage","/id/","https://imageseo.cc/id/","tools seo gambar gratis","Tools SEO Gambar Gratis & 100% Privasi di Browser","Tools SEO Gambar Gratis & Kompres Foto Cepat | ImageSEO","Optimasi, kompres foto, ubah format ke WebP, dan tambahkan geotag GPS langsung di browser Anda. Cepat, tanpa batas ukuran, dan 100% aman tanpa simpan ke server.","Homepage hub for Indonesian audience."
"id","Bahasa Indonesia","Primary Tool","/id/free-webp-converter","https://imageseo.cc/id/free-webp-converter","ubah foto ke webp","Konverter WebP Gratis & Cepat di Browser","Konverter WebP Gratis Online — Ubah Gambar ke WebP | ImageSEO","Ubah gambar menjadi format WebP modern secara instan. Perkacil ukuran file gambar dan percepat loading website toko online atau blog Anda.","Core WebP tool in Indonesian."
"id","Bahasa Indonesia","Tool Variant","/id/jpg-to-webp","https://imageseo.cc/id/jpg-to-webp","ubah jpg ke webp","Ubah JPG ke WebP Gratis Online","Ubah JPG ke WebP Online Gratis — Cepat & Privasi Aman | ImageSEO","Konversi foto JPG ke WebP super ringan dalam hitungan detik. Tingkatkan performa Core Web Vitals tanpa upload file ke server eksternal.","High-intent format converter."
"id","Bahasa Indonesia","Tool Variant","/id/png-to-webp","https://imageseo.cc/id/png-to-webp","ubah png ke webp","Ubah PNG ke WebP Transparan","Ubah PNG ke WebP Online Gratis — Pertahankan Transparansi | ImageSEO","Ubah gambar PNG ke WebP dengan latar belakang transparan tetap terjaga sempurna dan ukuran file jauh lebih kecil.","Transparency-focused converter."
"id","Bahasa Indonesia","Primary Tool","/id/free-geo-tagger","https://imageseo.cc/id/free-geo-tagger","tambah lokasi foto","Geotag Foto & Edit Metadata EXIF GPS Gratis","Tambah Lokasi Foto Online Gratis — Edit EXIF GPS | ImageSEO","Tambahkan koordinat GPS dan lokasi akurat pada foto untuk memperkuat SEO lokal dan profil Google Bisnisku. Menggunakan peta interaktif yang aman di browser.","Core Geotagging tool."
